ip_src,ip_dst,srcport,dstport,tp_proto,data_proto,data_type,data_len,entropy_shannon,entropy_renyi,entropy_tsallis,reason
10.42.0.140,216.58.207.206,57621,443,udp,data,unknown,42.0,0.5133253921330593,0.5037184179242565,0.9387755102040817,info:
216.58.207.206,10.42.0.140,443,57621,udp,data,unknown,72.0,0.6503819884166595,0.6400367792147139,0.97125,info:
10.42.0.140,216.58.207.206,57621,443,udp,data,unknown,36.0,0.5,0.5,0.9375,info:
216.58.207.206,10.42.0.140,443,57621,udp,data,unknown,27.0,0.4550279911177315,0.4457317097216814,0.9155555555555556,info:
10.42.0.207,18.197.59.152,56144,10001,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.207,3.125.130.75,56144,10001,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.207,192.168.1.1,56144,10000,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.207,18.197.59.152,56144,10001,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.207,3.125.130.75,56144,10001,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.207,192.168.1.1,56144,10000,udp,data,omit,4.0,-1,-1,-1,info: small omit
10.42.0.140,10.42.0.1,56264,53,udp,dns,text,34.0,0.39946811136401056,0.3373990314417851,0.8460207612456747,info:dns
10.42.0.140,10.42.0.1,53411,53,udp,dns,text,34.0,0.39735410276322636,0.33177000138502283,0.8411386593204775,info:dns
10.42.0.1,10.42.0.140,53,56264,udp,dns,text,179.0,0.5607011674945952,0.4792911663238713,0.9298945375878853,info:dns
10.42.0.1,10.42.0.140,53,53411,udp,dns,text,106.0,0.5440332767535231,0.4608700745819592,0.9223548617488011,info:dns
10.42.0.140,10.42.0.1,64711,53,udp,dns,text,60.0,0.511945157038314,0.4603921321712264,0.9221488078138466,info:dns
10.42.0.1,10.42.0.140,53,64711,udp,dns,text,149.0,0.5538833307113729,0.47707505402504036,0.9290277149036769,info:dns
